Lemma_ID,Lemma,POS,Lemma_Type,Lemma_InflClass,Lemma_Degree,Lemma_Person,Lemma_Gender,Lemma_Voice,Lemma_Tense,Lemma_Aspect,Lemma_Animacy,Lemma_Abbr,Lemma_NumForm,Lemma_VerbForm,Lemma_Personal,Lemma_Origin,Lemma_Poss,Lemma_Reflex,Lemma_SubCat,Variant,Form_ID,Form,Form_Accent,Form_Gender,Form_Person,Form_Cas,Form_Number,Form_Degree,Form_Tense,Form_Mood,Form_VerbForm,Form_Animacy,Form_Short
153843,Адысей,PROPN,,1d,,,Masc,,,,True,,,,True,,,,,,,,,,,,,,,,,,
153963,Алексій,PROPN,,1d,,,Masc,,,,True,,,,True,,,,,,,,,,,,,,,,,,
153974,Алерой,PROPN,,1d,,,Masc,,,,,,,,,,,,,,,,,,,,,,,,,,
154011,Алтай,PROPN,,1d,,,Masc,,,,,,,,,,,,,,,,,,,,,,,,,,
154075,Аляксей,PROPN,,1d,,,Masc,,,,True,,,,True,,,,,,,,,,,,,,,,,,
154139,Анджэй,PROPN,,1d,,,Masc,,,,True,,,,True,,,,,,,,,,,,,,,,,,
154166,Андрэй,PROPN,,1d,,,Masc,,,,True,,,,True,,,,,,,,,,,,,,,,,,
154214,Антоній,PROPN,,1d,,,Masc,,,,True,,,,True,,,,,,,,,,,,,,,,,,
154223,Антэлій,PROPN,,1d,,,Masc,,,,True,,,,True,,,,,,,,,,,,,,,,,,
154228,Ануфрый,PROPN,,1d,,,Masc,,,,True,,,,True,,,,,,,,,,,,,,,,,,
154298,Арсеній,PROPN,,1d,,,Masc,,,,True,,,,True,,,,,,,,,,,,,,,,,,
154312,Арцемій,PROPN,,1d,,,Masc,,,,True,,,,True,,,,,,,,,,,,,,,,,,
154534,Афанасій,PROPN,,1d,,,Masc,,,,True,,,,True,,,,,,,,,,,,,,,,,,
154537,Афелій,PROPN,,1d,,,Masc,,,,True,,,,True,,,,,,,,,,,,,,,,,,
154576,Аэцый,PROPN,,1d,,,Masc,,,,True,,,,True,,,,,,,,,,,,,,,,,,
